controller,value,date,time
BLOWER,1,2020-11-03,09:35:31
BLOWER,1,2020-11-03,09:35:31
BLOWER,1,2020-11-03,09:35:31
BLOWER,1,2020-11-03,09:35:31
BLOWER,1,2020-11-03,09:35:31
BLOWER,1,2020-11-03,09:35:31
BLOWER,1,2020-11-03,09:35:31
BLOWER,1,2020-11-03,09:35:31
BLOWER,1,2020-11-03,09:35:31
BLOWER,1,2020-11-03,09:35:31
BLOWER,1,2020-11-03,09:35:31
BLOWER,1,2020-11-03,09:35:31
BLOWER,0,2020-11-03,15:19:01
BLOWER,1,2020-11-04,09:05:31
BLOWER,0,2020-11-04,09:07:31
BLOWER,1,2020-11-04,09:12:31
BLOWER,0,2020-11-04,09:17:01
BLOWER,1,2020-11-04,09:21:31
BLOWER,0,2020-11-04,09:23:01
BLOWER,1,2020-11-04,09:23:31
BLOWER,0,2020-11-04,09:32:31
BLOWER,1,2020-11-04,09:33:31
BLOWER,0,2020-11-04,09:34:31
BLOWER,1,2020-11-04,09:35:02
BLOWER,1,2020-11-04,09:35:02
BLOWER,1,2020-11-04,09:35:02
BLOWER,1,2020-11-04,09:35:02
BLOWER,1,2020-11-04,09:35:02
BLOWER,1,2020-11-04,09:35:02
BLOWER,1,2020-11-04,09:35:02
BLOWER,0,2020-11-04,11:37:31
BLOWER,1,2020-11-04,11:38:02
BLOWER,1,2020-11-04,11:38:02
BLOWER,1,2020-11-04,11:38:02
BLOWER,0,2020-11-04,12:14:01
BLOWER,1,2020-11-04,12:14:31
